"Id","Age","Practice","Instrument","Apprentissage","Difficultés","Aide","StyleMusic","Intérêts","Projet","Accompagnement","CoursEnLigne","Avantages","DifficultésLearn","IntérêtFormationEnLigne","RemarqueSupplémentaire","TypeInstrument"
"11","30","Je n’ai jamais joué, mais j’aimerais apprendre (ou j'ai très peu joué et j'aimerais reprendre)","Piano é2uellement ","Oui","Le temps, la fatigue/stress de la vie, l'argent","La possibilité d'avoir un suivi peu régulier : p.ex., peu de leçons à un moment, mais + à un autre selon les périodes de vie... ","Musique Classique;Jazz/Blues;Funk/Soul;Aucune idée, j'y connais rien ","Techniques de jeu (maîtrise de l’instrument);Faire des reprises de morceaux","Créer des vidéos musicales (clips, se filmer en jouant);Pour moi et mon entourage","","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","J'ai fait du solfège à l'école, j'étais nulle 😭 Je pense qu'amener quelque chose de ludique pourrait être chouette, notamment pour les gens qui apprennent pour leurs propres loisirs"
"12","30","J’ai pratiqué par le passé, mais j’ai arrêté","Violoncelle","Oui","Précision et difficulté de l instrument","La gentillesse ","Musique Classique;Musiques du monde","Faire des reprises de morceaux","Jouer en groupe ou en public","","Non, et cela ne m’intéresse pas","","","","","1"
"13","45","Je joue régulièrement","Guitare","Non","","","Jazz/Blues;Rock/Pop;Folk","Improvisation;Faire des reprises de morceaux;Jouer en groupe","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique;Créer des vidéos musicales (clips, se filmer en jouant)","Je ne comprends pas la question ","Oui, et cela m’a aidé","Accessibilité, disponibilité, on trouve tout ce qu’on peut chercher","Parfois les vidéos sont trop longues et les personnes ne sont pas pédagogues, elles s’écartent souvent de l’objectif premier ","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","  Non","1"
"14","45","Je joue régulièrement","Guitare","Oui","En improvisation, mettre en pratique la théorie harmonique ","Rajeunir pour avoir des capacites cerebrales plus importantes, ou à défaut, avoir plus de temps pour pratiquer et pratiquer ","Jazz/Blues;Rock/Pop;Folk Rock","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique","Un enregistrement graphique (position des mains et doigts sur le manche) des parties que j'ai improvisées ou jouees","Oui, et cela m’a aidé","Apprentissage rapide de morceaux qu on a envie de jouer (tutos), nouvelles pistes de travail, réglages de matériel, présentation nouveaux instruments, matériel...etc","Tout dépend de la personne qui fait la vidéo mais en general c est clair","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","La période Covid a permis d enregistrer des morceaux à plusieurs à distance + faire des vidéos. C'est un travail intéressant car il faut être impeccable par rapport au clic","1"
"15","18","Je ne joue pas (je n'ai jamaisjoué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","","","",""
"16","30","Je joue régulièrement","Piano, Chant","Oui","Garder le courage de progresser ","La méthode Kodalì","Jazz/Blues;Rock/Pop;Funk/Soul;Musiques électroniques;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Apprendre des morceaux (lecture);Faire des reprises de morceaux","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique;Créer des vidéos musicales (clips, se filmer en jouant);Donner des cours de musique","Piano guitare basse violon","Oui, mais ce n’était pas adapté à mon fonctionnement","","Personne pour me corriger","Non, je préfère d’autres types de formation","La TCM et Kodalì m’ont changé la vie","1, 4"
"17","60","Je joue régulièrement","Piano, Guitare, Batterie","Oui","Le suivit","Un prof","Rock/Pop;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Improvisation","Composer mes propres morceaux;Créer des vidéos musicales (clips, se filmer en jouant)","Un trio","Oui, et cela m’a aidé","Tout","Rien","Oui, mais cela dépendrait du prix","Partage entre pro","1, 3"
"18","30","Je joue régulièrement","Batterie","Oui","Irrégularité du travail personnel","Faire un journal de bord et noter chaque jour l'avancement du travail ","Musique Classique;Jazz/Blues;Rock/Pop;Metal/Punk;Funk/Soul;Musiques électroniques;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Apprendre des morceaux (lecture);Faire des reprises de morceaux","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique;Donner des cours de musique","Un professeur ","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","3"
"19","60","Je ne joue pas (je n'ai jamaisjoué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","","","",""
"20","60","J’ai pratiqué par le passé, mais j’ai arrêté","Saxophone, Piano","Oui","dissociation des 2 mains","je ne sais pas","Musique Classique;Rock/Pop","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège)","juste pour moi","","Non, mais j'aimerais essayer","","","Oui, mais cela dépendrait du prix","","2, 1"
"21","30","Je ne joue pas (je n'ai jamaisjoué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","","","",""
"22","18","Je joue de temps en temps (sans vraie régularité)","Piano, Guitare, Ukulélé, Harpe","Oui","manque de motivation et parfois d'intérêt pour les cours de solfèges ","ce qui m'aide, c'est la motivation à apprendre un nouveau morceau, j'apprécierais que les cours de solfèges proposent des exemples plus concrets et accessibles (jouer des rythmes ou mélodies ''connues'' par exemple, proposer d'analyser des morceaux connus et récents)  ","Hip-hop/Rap/R&B;Rock/Pop;Reggae/Ska","Techniques de jeu (maîtrise de l’instrument);Apprendre des morceaux (lecture);Faire des reprises de morceaux","Composer mes propres morceaux","Un journal de musique, qui permettrait de répertorier les heures de travail, les morceaux en apprentissage et appris, etc. ","Oui, et cela m’a aidé","permettre d'apprendre un morceau avec plusieurs techniques différentes, didactique et approche de la musique différentes selon les ressources","difficile d'avoir des cours ''sur mesure'' et de pouvoir visualiser les nouveaux apprentissages ou les paliers d'apprentissages atteints","Oui, absolument","","1"
"23","30","Je joue de temps en temps (sans vraie régularité)","Guitare","Oui","je soupçonne que ma dysorthographie complique ma compréhension du solfège","J'essaie de me concentrer plus sur les intervalles et de travailler mon oreille","Musique Classique;Jazz/Blues;Rock/Pop;Metal/Punk","Compréhension musicale (rythme, harmonie, théorie, solfège)","Jouer en groupe ou en public;Composer mes propres morceaux","","Oui, et cela m’a aidé","gestion de son temps, contenu, qualité, ","Ne pas pouvoir poser de question","Oui, mais cela dépendrait du prix","","1"
"24","18","Je joue régulièrement","Piano, Violon, Guitare","Oui","la motivation, la regularité et avoir le temps de pratiquer","Pratiquer tous les jours, même les jours on l'on n'est pas motivé. 5 minutes sont toujours mieux que 0.","Musique Classique;Jazz/Blues","Techniques de jeu (maîtrise de l’instrument);Improvisation;Apprendre des morceaux (lecture)","Jouer en groupe ou en public","","Oui, et cela m’a aidé","Viennent compléter les connaissances ou repondre à des questions spécifiques. Peuvent aussi aider à voir différentes façons de jouer un morceau.","Certains conseils sont erronés ou incomplet et peuvent ralentir l'apprentissage ou le complexifier.","Non, je préfère d’autres types de formation","","1"
"25","30","Je joue de temps en temps (sans vraie régularité)","Guitare, Clarinette ","Non","","","Musique Classique;Jazz/Blues;Hip-hop/Rap/R&B;Rock/Pop;Metal/Punk;Musiques électroniques","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Apprendre des morceaux (lecture)","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique","","Oui, et cela m’a aidé","Facilité d'utilisation et d'accès ","Besoin de connaissances de base ","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1, 2"
"26","45","Je ne joue pas (je n'ai jamais joué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","","","",""
"27","30","Je ne joue pas (je n'ai jamais joué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","","","",""
"28","30","J’ai pratiqué par le passé, mais j’ai arrêté","Piano","Oui","Pour moi c’est le temps et la motivation  ","Je ne vois pas de nécessité en ce moment d’apprendre donc je le garde en stand-by, peut être un jour qui sait ","Musique Classique;Jazz/Blues;Hip-hop/Rap/R&B;Funk/Soul","Techniques de jeu (maîtrise de l’instrument);Apprendre des morceaux (lecture)","Jouer et chanter pour moi meme","","Oui, mais ce n’était pas adapté à mon fonctionnement","","Contenu, pas souvent disponible ce que je recherche","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"29","30","J’ai pratiqué par le passé, mais j’ai arrêté","Flute traversiere","Non","","","Musique Classique;Rock/Pop;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Apprendre des morceaux (lecture)","Jouer en groupe ou en public;Composer mes propres morceaux","","Non, mais j'aimerais essayer","","","Oui, mais cela dépendrait du prix","","2"
"30","18","Je joue régulièrement","Piano, Guitare, Chant, Ukulele","Oui","Motivation, régularité, gestion de la frustration ","15min d'instruments Minimum par jour pour les exercices et passages difficiles, un cadre (par ex. Avec des cours)","Musique Classique;Jazz/Blues;Rock/Pop;Metal/Punk;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Faire des reprises de morceaux","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique","Je n'ai pas compris la question.","Oui, et cela m’a aidé","Aide dans l'harmonie et les accords ","Contenu très long, difficile de rester motivée devant la vidéo entière ","Non, je préfère d’autres types de formation","","1, 4"
"31","18","J’ai pratiqué par le passé, mais j’ai arrêté","Piano","Oui","Au lieu d'apprendre à lire réellement la partition, j'avais tendance à apprendre à l'oreille. Il y avait donc plusieurs morceaux que je connaissais par cœur. Nonobstant, avoir délaissé cette partie de l'apprentissage était un vrai poids dans la lecture de partitions plus complexes et a en partie contribué à l'arrêt total du piano. Pour avoir joué dans un groupe d'amateurs (juniors) pendant quelques années, l'aspect social me plaisait, mais les morceaux joués beaucoup moins.","Très clairement les musiques que j'apprécie écouter régulièrement. Néanmoins, ce sont également très souvent des morceaux plus difficiles à jouer à mon niveau.","Musique Classique;Rock/Pop","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Apprendre des morceaux (lecture);Faire des reprises de morceaux","Jouer en groupe ou en public;Composer mes propres morceaux","Bonne question, je ne sais pas vraiment. Je suppose qu'il faudrait un rendez-vous régulier (cours ou non) pour (re)apprendre les bases.","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"32","30","J’ai pratiqué par le passé, mais j’ai arrêté","Piano","Oui","Avoir assez de temps pour pratiquer a la maison serieusement entre les lecons. Prendre cet engagement. Avoir le piano a la maison.","Une decision claire que ça devienne une priorité par rapport aux autres aspects de ma vie, et m'y tenir avec un planning d'heures regulieres.","Musique Classique","Techniques de jeu (maîtrise de l’instrument);Apprendre des morceaux (lecture)","Jouer de la musique pour mon plaisir personnel","Du coaching de pratique à la maison","Non, et cela ne m’intéresse pas","","","","","1"
"33","30","J’ai pratiqué par le passé, mais j’ai arrêté","Basse, Guitare électrique","Oui","Motivation","Avoir du temps","Rock/Pop;Metal/Punk;Musiques électroniques","Improvisation","Jouer en groupe ou en public;Composer mes propres morceaux","Batterie, chant, guitare ","Oui, et cela m’a aidé","Contenu adapté a mes envies du moment","Rien","Non, je préfère d’autres types de formation","Non","1"
"34","30","Je n’ai jamais joué, mais j’aimerais apprendre (ou j'ai très peu joué et j'aimerais reprendre)","Guitare, Batterie","Oui","Temps disponible ","Libèrer du temps ","Rock/Pop;Metal/Punk","Techniques de jeu (maîtrise de l’instrument);Improvisation","Composer mes propres morceaux","Prof patient et à l'écoute ","Non, et cela ne m’intéresse pas","","","","Non","1, 3"
"35","30","Je joue régulièrement","Guitare, Piano, Chant, Batterie","Oui","Motivation, priorités, absence de but concrêt,  l'équilibre entre l'effort à investir dans la pratique et la gratification qui en découle","Je pense que ça dépend du profil des gens. Là ou ""s'imposer une discipline"" marchera pour certains, d'autres gagneront à se fixer des buts moins ambitieux mais plus atteignables à court terme. Il faut aussi accepter que ça peut être un long parcours et se pardonner de mettre du temps plutôt que de se mettre de grandes pressions pour progresser et être performant. Il faut accepter le côté punk de la chose. Et un bon moyen de faire tout ça, c'est d'y mêler l'aspect social de la musique et de la pratiquer avec d'autres gens.","Musique Classique;Jazz/Blues;Rock/Pop;Metal/Punk;Musiques électroniques;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Improvisation;Faire des reprises de morceaux","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique","Un revenu de base inconditionnel","Oui, mais ce n’était pas adapté à mon fonctionnement","","Je capte beaucoup plus d'informations lorsque je regarde une personne jouer devant moi qu'en ligne.","Non, je préfère d’autres types de formation","Nerf Herder c'est cool!","1, 4, Percussions(Batterie&Tambours"
"36","18","J’ai pratiqué par le passé, mais j’ai arrêté","Flûte traversière","Oui","Deux opération chirurgicales, Covid-19 et jamais fait de cours de solfège parce que je trouvais que ça servait à rien et que j’avais une différence d’âge de 3 ans avec le reste des personnes.","🤷🏻","Musique Classique;Musiques du monde","Apprendre des morceaux (lecture)","Aucune fichtre idée 🤷🏻 ","Des coûts moins exorbitants et un bon prof qui varie les styles musicaux ","Oui, mais ce n’était pas adapté à mon fonctionnement","","Ça doit être personnalisé ","Oui, mais cela dépendrait du prix","Non mis à part que j’ai adoré faire ça pendant 10 ans","2"
"37","30","Je joue de temps en temps (sans vraie régularité)","Guitare, Basse, Batterie","Oui","Motivation; temps","Supprimer Netflix, pratiquer en groupe ","Metal/Punk","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Faire des reprises de morceaux","Jouer en groupe ou en public;Enregistrer de la musique;Créer des vidéos musicales (clips, se filmer en jouant)","","Oui, et cela m’a aidé","Accessibilité, flexibilité","Pas de correction des mauvaises pratiques","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1, 3"
"38","30","J’ai pratiqué par le passé, mais j’ai arrêté","Synthétiseur, Piano","Non","","","Musique Classique","Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation","Jouer pour me détendre ","","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"39","30","Je joue régulièrement","Guitare","Non","","","Jazz/Blues;Rock/Pop;Metal/Punk","Techniques de jeu (maîtrise de l’instrument);Improvisation;Apprendre des morceaux (lecture)","Composer mes propres morceaux;Jouer pour le plaisir","Des tablatures, la possibilité de jouer à plusieurs (jams sans enjeux, sans jugements), pouvoir ""copier"" des astuces","Oui, et cela m’a aidé","Quantité, grande disponibilité ","Trop de matériel, difficile de choisir","Oui, mais cela dépendrait du prix","Énorme amélioration depuis que je peux jouer au travail","1"
"40","30","J’ai pratiqué par le passé, mais j’ai arrêté","Guitare, Guitare électrique, Harmonica, Percussions, Batterie, Congas, Tabla, Contrebasse","Oui","- N’avoir jamais appris le solfège à l’école.- Ne plus avoir de professeur pédagogue. - Dyslexie (lecture de tablatures) - pour cause de budget - manque de temps -lieu","Avoir un budget, pour louer un local.","Jazz/Blues;Hip-hop/Rap/R&B;Rock/Pop;Metal/Punk;Reggae/Ska;Funk/Soul;Musiques électroniques;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Improvisation;Apprendre des morceaux (lecture)","Jouer en groupe ou en public;Enregistrer de la musique","Percussions, basse, clavier…","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1, 2, 3"
"41","30","Je ne joue pas (je n'ai jamais joué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","","","",""
"42","18","Je joue régulièrement","Chant, Piano, Guitare","Oui","Lenteur au niveau de l’assimilation, manque de confiance et sentiment d’illégitimité ","La formation obligatoire avec les examens à la fin de l’année ","Musique Classique;Jazz/Blues;Hip-hop/Rap/R&B;Rock/Pop;Musiques électroniques","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation","Composer mes propres morceaux;Enregistrer de la musique","Aucune idée ","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","4, 1"
"43","30","Je n’ai jamais joué, mais j’aimerais apprendre (ou j'ai très peu joué et j'aimerais reprendre)","Batterie ","Oui","Motivation; temps","Un réel but , par example pratiquer avec des amis dans un groupe ou avec un prof.","Rock/Pop;Metal/Punk;Musiques électroniques","Techniques de jeu (maîtrise de l’instrument)","Jouer en groupe ou en public","","Non, mais j'aimerais essayer","","","Oui, absolument","","3"
"44","45","Je ne joue pas (je n'ai jamais joué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","","","Le solfège m'a arrêter net qu'il soit enseigné plus léger qu'à mon époque en tt cas ",""
"45","30","J’ai pratiqué par le passé, mais j’ai arrêté","Piano","Oui","Trouver un créneau regulier et me motiver ","Reprendre des cours","Musique Classique;Rock/Pop","Improvisation;Apprendre des morceaux (lecture);Faire des reprises de morceaux","Jouer pour mon propre plaisir","En visio conf ou par capsules video car difficile de prévoir un déplacement sur mon temps libre (enfants, boulot)","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"46","30","Je ne joue pas (je n'ai jamais joué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","","","",""
"47","30","J’ai pratiqué par le passé, mais j’ai arrêté","Batterie","Non","","","Jazz/Blues;Rock/Pop;Metal/Punk;Funk/Soul","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation","Jouer en groupe ou en public","","Non, et cela ne m’intéresse pas","","","","","3"
"48","18","Je joue de temps en temps (sans vraie régularité)","Guitare, Piano","Oui","Trouver des exercices pertinents et des musiques qui me parlent","Des cours avec des profs","Musique Classique;Rock/Pop;Metal/Punk;Musiques électroniques;Chant mongol traditionnel","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Apprendre des morceaux (lecture);Faire des reprises de morceaux;Composer ses propres morceaux","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique","","Oui, et cela m’a aidé","Un bon rythme d'explication, de l'exemple et de la correction","Trop rapide, le fait d'avoir les notes en autre chose que du do ré mi","Non, je préfère d’autres types de formation","","1"
"49","30","Je joue régulièrement","Drums","Oui","Money and opportunity","Better Network, more international opportunities and more fincfinancial support","Jazz/Blues","Komposition","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique;Créer des vidéos musicales (clips, se filmer en jouant)","","Oui, et cela m’a aidé","-","No real Life connection","Oui, absolument","Dont understand","3"
"50","30","Je joue régulièrement","Basse électrique","Non","","","Musique Classique;Jazz/Blues;Hip-hop/Rap/R&B;Funk/Soul","Techniques de jeu (maîtrise de l’instrument);Improvisation","Jouer en groupe ou en public","","Oui, et cela m’a aidé","Diversité des contenu","Trop de contenu","Oui, mais cela dépendrait du prix","","1"
"51","45","Je joue régulièrement","Basse contrebasse","Oui","régularité","objectifs simples et définis","Jazz/Blues;Funk/Soul","Techniques de jeu (maîtrise de l’instrument);Apprendre des morceaux (lecture)","Jouer en groupe ou en public","","Oui, et cela m’a aidé","attirer mon attention sur de nouveaux enjeux","pas de difficulté","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"52","30","Je joue de temps en temps (sans vraie régularité)","Guitare, Piano","Oui","Aucun base de solfège, parfois je tourne en rond lorsque j’essaie de composer","Prendre des cours ","Folk, acoustic, indie","Compréhension musicale (rythme, harmonie, théorie, solfège)","Composer mes propres morceaux;Enregistrer de la musique","","Oui, et cela m’a aidé","Facile à comprendre ","Parfois trop de choix, par exemple tutoriels YouTube ","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"53","30","Je joue régulièrement","Batterie, Timbales, Claviers, Percussions, Bodhran, Flute irlandaise, Guitare, Piano, Trompette, Chant, Contrebasse, Violon","Oui","Au tout début, j'avais de la peine à tenir le tempo avec des grands ensembles. Ensuite, j'ai eu de la peine à comprendre comment approcher l'improvisation. Maintenant, je galère à maîtriser la double.","Des conseils éclairés d'une personne qui a surpassé exactement les mêmes problèmes que je rencontre. La littérature sur la batterie est très mercantilement motivée. Rien n'a de qualité, particulièrement sur internet. ","Musique Classique;Jazz/Blues;Rock/Pop;Metal/Punk;Reggae/Ska;Funk/Soul;Musiques du monde;Musique d'harmonies et ensembles de cuivres ... Prog rock ...","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Apprendre des morceaux (lecture);Faire des reprises de morceaux;Il y a aussi tout l'aspect du méta apprentissage (apprendre comment maintenir son niveau avec le moins de travail possible, comment chauffer le plus efficacement, comment intégrer rapidement du répertoire nouveau, comment développer une compétence nouvelle au mieux : apprendre à apprendre) et ce qui est en dehors du travail instrumental, comme composer, créer et gérer un groupe, trouver des gigs, comprendre les contrats, devenir riche ...","Jouer en groupe ou en public;Composer mes propres morceaux;Donner des cours de musique;Apprendre d'autres instruments","Pas sûr de comprendre la question, mais au vu de la suivante, c'est par rapport à des cours de musique. Là, il me faudrait quelques heures avec les personnes les plus avancées sur chaque élément qui m'intéresse. Et ... peut-être qu'il faudrait un genre de stratège qui canalise mon attention dans une direction viable. En somme, il me faudrait un ou une prof.","Non, et cela ne m’intéresse pas","","","","Je n'ai pas les moyens de prendre des cours, et avancer en autodidacte s'apparente à tâtonner dans le noir ... La plupart des conseils glanés sur internet mènent à des culs-de-sac ... La musique m'intéresserait-elle moins si elle n'était pas si méandreuse ? Il faudrait que quelqu'un cartographie tout ce bazar. Il y aura moyen de lire le résultat de cette recherche ? Tout de bon, Vincent ! À une prochaine !","1, 2, 3, 4"
"54","60","Je joue régulièrement","Saxophone, Clarinette","Oui","tout","persévérence","Musique Classique;Jazz/Blues;musique improvisée","Improvisation","Jouer en groupe ou en public","","Non, et cela ne m’intéresse pas","","","","","2"
"55","30","Je joue de temps en temps (sans vraie régularité)","Piano, Basse.","Non","","","Musique Classique;Jazz/Blues;Rock/Pop;Musiques électroniques","Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Composition","Composer mes propres morceaux;Enregistrer de la musique;Donner des cours de musique","Plus de musique d'ensemble, en groupe.","Oui, et cela m’a aidé","Autonomie, accessibilité, diversité, rapidité, exploration.","Plus difficile de trouver du matériel ""académique"".","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","Je pense qu'il y a un grand besoin de faire le lien entre l'apprentissage à l'ancienne type ""conservatoire"" et la façon de fonctionner des jeunes musiciens qui apprennent la musique aujourd'hui.","1"
